Name,Platform,Year,Genre,Publisher
! That Bastard Is Trying To Steal Our Gold !,"Linux, Microsoft Windows",2016,"Action,",WTFOMGames
"""Glow Ball"" - The billiard puzzle game","Linux, Microsoft Windows",2014,Sports,WTFOMGames
'n Verlore Verstand,"Linux, macOS, Microsoft Windows",2016,Adventure,Skobbejak Games
.EXE,"Linux, macOS, Microsoft Windows",2016,"Action,","Two Man Army Games, L.L.C"
0 A.D.,"Linux, macOS, Microsoft Windows",2014,Real-time strategy,Wildfire Games
"10,000,000","Android, iOS, Linux, macOS, Microsoft Windows",2012,Puzzle,EightyEight Games LTD
1001 Spikes,"3DS, Linux, PlayStation 4, Vita, Wii U, Windows, Xbox 360, Xbox One",2014,Platform,"Nicalis, Inc."
1166,"Linux, macOS, Microsoft Windows",2017,"Action,",Predator Productions
12 is Better Than 6,"Linux, macOS, Microsoft Windows",2015,Action,Pinkapp Games
12 Labours of Hercules,"Linux, macOS, Microsoft Windows",2015,Casual,Jetdogs Studios
12 Labours of Hercules II: The Cretan Bull,"Linux, macOS, Microsoft Windows",2015,Strategy,Jetdogs Studios
12 Labours of Hercules III: Girl Power,"Linux, macOS, Microsoft Windows",2015,Strategy,Jetdogs Studios
12 Labours of Hercules IV: Mother Nature,"Linux, macOS, Microsoft Windows",2015,Casual,Jetdogs Studios
12 Labours of Hercules V: Kids of Hellas,"Linux, macOS, Microsoft Windows",2016,Casual,Jetdogs Studios
12 orbits,"Linux, macOS, Microsoft Windows",2016,Action,Roman Uhlig
140,"Linux, macOS, Microsoft Windows",2013,Action,Carlsen Games
16bit Trader,"Linux, macOS, Microsoft Windows",2015,Adventure,Forever Entertainment S. A.
1775: Rebellion,"Linux, macOS, Microsoft Windows",2016,Strategy,HexWar Games
1942: The Pacific Air War,"Linux, macOS, Microsoft Windows",2015,Simulation,Night Dive Studios
2 Ninjas 1 Cup,"Linux, Microsoft Windows",2017,Action,Vogelfänger
2064: Read Only Memories,"Linux, macOS, Microsoft Windows",2015,Adventure,"MidBoss, LLC."
20something,"Linux, macOS, Microsoft Windows",2017,RPG,Jake Tucker
3079 -- Block Action RPG,"Linux, macOS, Microsoft Windows",2011,Action,Phr00t's Software
3089 -- Futuristic Action RPG,"Linux, macOS, Microsoft Windows",2014,Action,Phr00t's Software
365 Days,"Linux, macOS, Microsoft Windows",2017,Action,Mugle Studio
3D Arcade Fishing,"Linux, macOS, Microsoft Windows",2016,Casual,rokapublish GmbH
3D Chess,"Linux, macOS, Microsoft Windows",2016,Casual,rokapublish GmbH
3D Paraglider,"Linux, macOS, Microsoft Windows",2015,Sports,khos85
4089: Ghost Within,"Linux, macOS, Microsoft Windows",2015,Action,Phr00t's Software
4Team,"Linux, macOS, Microsoft Windows",2016,Action,Heisenberg Entertainment
4x4 Road Race,"Linux, macOS, Microsoft Windows",2017,Racing,Mirador Studio
5089: The Action RPG,"Linux, macOS, Microsoft Windows",2016,Action,Phr00t's Software
